dc.title[en_US],dc.date.issued[en_US],dc.identifier.doi,dc.publisher[en_US],dc.identifier.uri[],dc.title[en],dc.contributor.author,dc.contributor.author[],dc.identifier.uri,dc.publisher,dc.date.issued,dc.title[],dc.contributor.author[en_US],collection,dc.publisher[en],dc.date.issued[],id
,,http://dx.doi.org/10.5072/FK2X063961,,,,,"Cameron, Asa",http://hdl.handle.net/1813/44263,,,A Stable Isotopic (Carbon And Nitrogen) Evaluation Of Regional Differences In Herded Animal Diet And Pastoral Risk Management Practices During The Xiongnu Period Of Mongolia.,,1813/47,,2016-05-29,45439
,,http://dx.doi.org/10.5072/FK2S75CH29,,,,,"Jain, Ashesh",http://hdl.handle.net/1813/44266,,,Learning From Natural Human Interactions For Assistive Robots,,1813/47,,2016-05-29,45442
,,http://dx.doi.org/10.5072/FK2NG4NQ0M,,,,,"Umbright, Christine",http://hdl.handle.net/1813/44280,,,Ab Initio Theory Of Energy Storage Through Nanoscale Charge Separation And Transport,,1813/47,,2016-05-29,45456
,,http://dx.doi.org/10.5072/FK2HQ3XW73,,,,,"Yao, Christine",http://hdl.handle.net/1813/44288,,,Feeling Subjects: Science And Law In Nineteenth-Century America,,1813/47,,2016-05-29,45464
,,http://dx.doi.org/10.5072/FK2CZ3732Q,,,,,"Blake, Elizabeth",http://hdl.handle.net/1813/44300,,,Eating And Feeling: Pleasure And The Modernist Body,,1813/47,,2016-05-29,45476
,,http://dx.doi.org/10.5072/FK28916P3X,,,,,"Randles, Evan",http://hdl.handle.net/1813/44301,,,Convolution Powers Of Complex-Valued Functions And Related Topics In Partial Differential Equations,,1813/47,,2016-05-29,45477
,,http://dx.doi.org/10.5072/FK24J0GV7V,,,,,"Dincer, Evren",http://hdl.handle.net/1813/44304,,,The Reindustrialization Of The U.S.: An Ethnography Of Auto Workers In The Industrial Rust Belt,,1813/47,,2016-05-29,45480
,,http://dx.doi.org/10.5072/FK20R9S22T,,,,,"Yilmaz, Erdal",http://hdl.handle.net/1813/44307,,,"Design, Analysis And Simulation Of Microscale Solid-Wave Gyroscopes",,1813/47,,2016-05-29,45483
,,http://dx.doi.org/10.5072/FK2W092D7F,,,,,"Kim, HyunJung",http://hdl.handle.net/1813/44311,,,Genetic Characterization Of The O. Rufipogon Species Complex And Construction Of Interspecific Pre-Breeding Resources For The Rice Improvement,,1813/47,,2016-05-29,45487
,,http://dx.doi.org/10.5072/FK2R78BM5R,,,,,"Wang, Hui",http://hdl.handle.net/1813/44313,,,Quantifying And Reducing Uncertainty In Large Volume Remote Sensing Measurements Of Atmospheric Boundary Layer Flows,,1813/47,,2016-05-29,45489
,,http://dx.doi.org/10.5072/FK2MG7MT11,,,,,"Chen, I-Tzu",http://hdl.handle.net/1813/44314,,,Plant-Mimetic Generation Of Negative Pressure In Water: From Fundamental Thermodynamics To Applications In Transport And Heat Transfer,,1813/47,,2016-05-29,45490
,,http://dx.doi.org/10.5072/FK2GQ6X07F,,,,,"Small, Ian",http://hdl.handle.net/1813/44316,,,Integration Of Epidemiological Information Into A Decision Support System For Late Blight,,1813/47,,2016-05-29,45492
,,http://dx.doi.org/10.5072/FK2C24WK53,,,,,"Thomson, Jordan",http://hdl.handle.net/1813/44319,,,"Rich Man, Poor Man: Prosperity, Poverty, And The Significance Of Need",,1813/47,,2016-05-29,45495
,,http://dx.doi.org/10.5072/FK27945R9F,,,,,"Sutton, Julie",http://hdl.handle.net/1813/44324,,,"Structural Studies Of Model Rna Systems In Solution Using F{\""O}Rster Resonance Energy Transfer",,1813/47,,2016-05-29,45500
,,http://dx.doi.org/10.5072/FK23J3FZ5Q,,,,,"Albrecht, Kiel",http://hdl.handle.net/1813/44329,,,Essays In Public Finance,,1813/47,,2016-05-29,45505
,,http://dx.doi.org/10.5072/FK2ZS2RB1V,,,,,"Molde, Klas Erik",http://hdl.handle.net/1813/44331,,,Enchantment And Embarrassment In The Lyric,,1813/47,,2016-05-29,45507
,,http://dx.doi.org/10.5072/FK2V121H83,,,,,"Smith, Laura",http://hdl.handle.net/1813/44335,,,"Evaluation Of Food-Chain Mycotoxin Exposure In Rural Zimbabwe: Determinants, Effects And Mechanisms",,1813/47,,2016-05-29,45511
,,http://dx.doi.org/10.5072/FK2Q819Q6D,,,,,"de la Garza, Lucas",http://hdl.handle.net/1813/44339,,,"Multi-Object, Multi-Sensor Detection And Tracking Of Pedestrians On A Mobile Robot",,1813/47,,2016-05-29,45515
